latitude,longitude,String,danger
39.347,-76.662,There is 1 sex offender in this area. ,2
39.286,-76.649,There are 2 sex offenders in this area. ,4
39.467,-76.834,There is 1 sex offender in this area. ,2
39.034,-77.015,There is 1 sex offender in this area. ,2
39.543,-77.116,There is 1 sex offender in this area. ,2
39.185,-76.842,There is 1 sex offender in this area. ,2
38.925,-76.871,There is 1 sex offender in this area. ,2
38.6,-77.144,There are 2 sex offenders in this area. ,4
39.159,-76.634,There is 1 gun offender in this area. ,1
39.657,-76.882,There is 1 sex offender in this area. ,2
39.355,-76.699,There is 1 sex offender in this area. ,2
39.633,-78.761,There is 1 sex offender in this area. ,2
39.418,-76.366,There is 1 sex offender in this area. ,2
38.996,-77.0,There is 1 sex offender in this area. ,2
39.295,-76.594,There are 3 CCTV cameras in this area. ,0
39.613,-75.953,There is 1 sex offender in this area. ,2
39.322,-76.682,There is 1 gun offender in this area. ,1
39.493,-79.043,There is 1 sex offender in this area. ,2
39.341,-76.603,There is 1 sex offender in this area. ,2
39.347,-76.672,There is 1 gun offender in this area. ,1
39.027,-77.055,There is 1 sex offender in this area. ,2
39.315,-76.604,There is 1 sex offender in this area. ,2
39.631,-77.002,There is 1 sex offender in this area. ,2
38.984,-76.856,There is 1 sex offender in this area. ,2
39.224,-76.605,There is 1 gun offender in this area. ,1
39.305,-76.667,There is 1 CCTV camera in this area. ,0
39.282,-76.632,There is 1 sex offender in this area. There is 1 gun offender in this area. ,3
39.276,-76.696,There is 1 sex offender in this area. ,2
39.291,-76.621,There is 1 CCTV camera in this area. ,0
39.523,-76.189,There is 1 sex offender in this area. ,2
39.327,-76.494,There is 1 sex offender in this area. ,2
39.289,-76.609,There is 1 CCTV camera in this area. ,0
39.29,-76.701,There is 1 sex offender in this area. ,2
39.297,-76.582,There are 2 gun offenders in this area. ,2
38.378,-75.585,There is 1 sex offender in this area. ,2
39.379,-76.567,There is 1 sex offender in this area. ,2
39.337,-76.504,There is 1 sex offender in this area. ,2
39.353,-76.693,There are 3 sex offenders in this area. ,6
38.857,-76.68,There is 1 sex offender in this area. ,2
39.288,-76.645,There is 1 gun offender in this area. ,1
39.289,-76.653,There is 1 gun offender in this area. ,1
39.228,-76.443,There is 1 sex offender in this area. ,2
39.432,-76.321,There are 2 sex offenders in this area. ,4
39.286,-76.676,There is 1 sex offender in this area. ,2
39.297,-76.676,There is 1 sex offender in this area. ,2
39.321,-76.612,There is 1 gun offender in this area. ,1
39.345,-76.69,There is 1 gun offender in this area. ,1
39.286,-76.619,There is 1 CCTV camera in this area. ,0
38.883,-76.959,There is 1 sex offender in this area. ,2
39.409,-76.489,There is 1 sex offender in this area. ,2
38.819,-76.95,There is 1 sex offender in this area. ,2
39.275,-76.537,There is 1 gun offender in this area. ,1
39.357,-76.546,There is 1 gun offender in this area. ,1
39.397,-76.556,There is 1 sex offender in this area. ,2
